Order_ID,Customer_ID,Order_Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Price,Payment_Type,Delivery_Days,Customer_City
100027,C572,02-12-2023,Electronics,Mouse,3,7700,23100,Debit Card,5,Hyderabad
100028,C301,01-08-2023,Sports,Shoes,5,4982,24910,Debit Card,7,Pune
100029,C195,02-04-2023,Clothing,Jeans,3,6335,19005,COD,6,Indore
100030,C844,03-06-2023,Sports,Cricket Bat,5,6988,34940,Credit Card,7,Mumbai
100031,C738,12-12-2023,Sports,Cricket Bat,5,13206,66030,COD,3,Indore
100032,C212,18-11-2023,Sports,Shoes,1,4902,4902,COD,4,Hyderabad
100033,C909,11-03-2023,Electronics,Mouse,4,7468,29872,COD,4,Pune
100034,C899,23-03-2023,Electronics,Laptop,4,10244,40976,Credit Card,6,Pune
100035,C570,27-06-2023,Electronics,Headphones,1,6173,6173,UPI,2,Hyderabad
100036,C440,03-02-2023,Electronics,Mouse,4,14954,59816,Credit Card,6,Delhi
100037,C704,18-03-2023,Home,Cookware,5,18796,93980,Debit Card,4,Chennai
100038,C919,02-12-2023,Home,Table,2,999,1998,Credit Card,3,Bangalore
100039,C530,21-04-2023,Clothing,Shirt,3,17764,53292,Debit Card,5,Chennai
100040,C518,15-03-2023,Home,Cookware,2,8036,16072,COD,4,Pune
100041,C561,09-11-2023,Sports,Football,3,15347,46041,UPI,5,Pune
100042,C141,04-04-2023,Clothing,Jacket,4,2891,11564,COD,3,Pune
100043,C459,07-02-2023,Beauty,Face Wash,5,11963,59815,Credit Card,2,Mumbai
100044,C341,18-07-2023,Beauty,Shampoo,2,2139,4278,UPI,7,Bangalore
100045,C657,07-06-2023,Clothing,Shirt,3,6356,19068,Credit Card,5,Pune
100046,C396,20-02-2023,Beauty,Face Wash,4,9547,38188,Debit Card,4,Mumbai
100047,C253,08-02-2023,Electronics,Mouse,3,5317,15951,Debit Card,3,Hyderabad
100048,C166,05-10-2023,Home,Cookware,1,7292,7292,Credit Card,3,Pune
100049,C720,08-04-2023,Home,Chair,3,7362,22086,Credit Card,4,Hyderabad
100050,C645,14-01-2023,Electronics,Headphones,1,8009,8009,Debit Card,2,Hyderabad
100051,C173,11-02-2023,Electronics,Mouse,1,967,967,Credit Card,7,Hyderabad
100052,C693,31-03-2023,Electronics,Headphones,1,8529,8529,COD,6,Chennai
100053,C457,29-01-2023,Clothing,Jeans,1,5114,5114,COD,5,Pune
100054,C521,24-01-2023,Beauty,Cream,1,10855,10855,COD,3,Indore
100055,C585,06-03-2023,Sports,Gloves,4,12516,50064,COD,5,Bhopal
100056,C219,08-02-2023,Clothing,T-Shirt,2,12065,24130,Credit Card,4,Pune
100057,C993,31-08-2023,Beauty,Shampoo,1,12026,12026,Debit Card,7,Pune
100058,C261,08-07-2023,Clothing,T-Shirt,4,6816,27264,UPI,7,Chennai
100059,C175,04-09-2023,Home,Chair,1,6785,6785,Credit Card,6,Indore
100060,C622,20-08-2023,Sports,Shoes,1,8418,8418,UPI,7,Delhi
100061,C282,08-11-2023,Beauty,Face Wash,3,14941,44823,COD,3,Indore
100062,C527,31-10-2023,Electronics,Headphones,5,3902,19510,Debit Card,2,Bangalore
100063,C291,31-08-2023,Clothing,Jeans,3,13487,40461,Credit Card,7,Bhopal
100064,C563,01-10-2023,Electronics,Mouse,3,14664,43992,Debit Card,3,Delhi
100065,C514,01-04-2023,Home,Mixer,1,8347,8347,Credit Card,3,Bhopal
100066,C821,27-01-2023,Sports,Cricket Bat,4,3029,12116,UPI,2,Delhi
100067,C806,28-03-2023,Home,Table,3,1792,5376,COD,6,Chennai
100068,C259,22-08-2023,Sports,Football,4,4303,17212,UPI,2,Mumbai
100069,C571,03-12-2023,Electronics,Mouse,4,11965,47860,Debit Card,2,Hyderabad
100070,C228,12-11-2023,Electronics,Phone,2,1174,2348,COD,6,Bangalore
100071,C199,18-05-2023,Electronics,Headphones,2,10617,21234,UPI,7,Pune
100072,C666,03-05-2023,Home,Cookware,5,8071,40355,COD,7,Indore
100073,C896,09-04-2023,Clothing,Jeans,1,13456,13456,Debit Card,3,Bangalore
100074,C340,05-08-2023,Sports,Football,2,16003,32006,Debit Card,7,Bhopal
100075,C447,26-05-2023,Electronics,Phone,4,18743,74972,COD,3,Bhopal
100076,C859,17-05-2023,Electronics,Laptop,1,6744,6744,UPI,2,Bhopal
100077,C921,16-01-2023,Clothing,Shirt,4,3617,14468,Debit Card,5,Chennai
100078,C775,08-08-2023,Electronics,Phone,1,15306,15306,Debit Card,7,Indore
100079,C764,05-09-2023,Sports,Gloves,2,13394,26788,UPI,5,Bangalore
100080,C569,03-06-2023,Home,Cookware,5,14825,74125,Credit Card,7,Delhi
100081,C740,12-05-2023,Home,Mixer,5,16471,82355,Credit Card,5,Hyderabad
100082,C316,17-07-2023,Clothing,Jacket,3,13307,39921,Credit Card,5,Delhi
100083,C715,11-02-2023,Home,Table,5,19187,95935,Debit Card,7,Hyderabad
100084,C459,11-12-2023,Clothing,Shirt,2,1996,3992,Credit Card,4,Delhi
100085,C232,14-09-2023,Electronics,Phone,4,14584,58336,Credit Card,2,Bangalore
100086,C141,15-05-2023,Home,Cookware,2,11581,23162,Debit Card,6,Mumbai
100087,C739,16-01-2023,Sports,Gloves,3,19904,59712,UPI,5,Pune
100088,C235,08-06-2023,Electronics,Headphones,1,3692,3692,UPI,4,Chennai
100089,C620,31-10-2023,Beauty,Perfume,1,14103,14103,COD,4,Delhi
100090,C481,22-02-2023,Beauty,Shampoo,3,10193,30579,COD,6,Delhi
100091,C680,10-01-2023,Home,Table,4,6375,25500,COD,6,Indore
100092,C789,12-08-2023,Sports,Football,3,13367,40101,Debit Card,6,Bangalore
100093,C312,01-09-2023,Clothing,Shirt,2,19647,39294,Credit Card,2,Indore
100094,C963,18-09-2023,Clothing,Shirt,2,16128,32256,UPI,3,Bangalore
100095,C755,14-02-2023,Sports,Shoes,4,14248,56992,UPI,2,Hyderabad
100096,C178,15-03-2023,Beauty,Face Wash,4,3050,12200,Debit Card,7,Bangalore
100097,C646,26-11-2023,Home,Chair,2,17724,35448,COD,5,Delhi
100098,C490,15-05-2023,Beauty,Face Wash,4,896,3584,COD,3,Bangalore
100099,C543,17-01-2023,Sports,Shoes,3,10674,32022,Debit Card,7,Bangalore
100100,C268,17-07-2023,Sports,Gloves,4,18415,73660,COD,6,Chennai
100101,C729,22-10-2023,Sports,Football,1,6585,6585,UPI,4,Mumbai
100102,C115,11-11-2023,Beauty,Perfume,4,6363,25452,COD,7,Bangalore
100103,C468,16-03-2023,Beauty,Shampoo,5,4073,20365,Debit Card,6,Pune
100104,C178,22-11-2023,Sports,Cricket Bat,2,19568,39136,COD,2,Bhopal
100105,C900,04-11-2023,Beauty,Cream,3,19493,58479,Debit Card,7,Mumbai
100106,C471,13-03-2023,Sports,Cricket Bat,2,1848,3696,Credit Card,3,Pune
100107,C795,06-06-2023,Home,Cookware,2,7696,15392,UPI,3,Pune
100108,C733,25-03-2023,Beauty,Cream,5,9585,47925,UPI,6,Delhi
100109,C879,03-09-2023,Electronics,Mouse,4,4584,18336,UPI,4,Mumbai
100110,C809,02-10-2023,Home,Mixer,1,15983,15983,Credit Card,3,Chennai
100111,C938,16-01-2023,Electronics,Mouse,2,3185,6370,Debit Card,4,Bangalore
100112,C955,12-10-2023,Clothing,Jacket,2,19247,38494,Credit Card,2,Hyderabad
100113,C544,27-12-2023,Electronics,Headphones,4,16774,67096,COD,7,Mumbai
100114,C847,14-07-2023,Clothing,Jeans,2,3512,7024,Credit Card,7,Hyderabad
100115,C119,04-05-2023,Beauty,Perfume,3,1453,4359,Credit Card,4,Chennai
100116,C184,11-08-2023,Home,Cookware,4,9167,36668,UPI,4,Hyderabad
100117,C483,22-08-2023,Sports,Cricket Bat,1,12850,12850,Credit Card,2,Chennai
100118,C214,15-10-2023,Home,Chair,4,4925,19700,Debit Card,5,Indore
100119,C612,23-08-2023,Home,Chair,5,6808,34040,Credit Card,7,Hyderabad
100120,C713,02-07-2023,Clothing,T-Shirt,3,14758,44274,COD,7,Mumbai
100121,C502,21-12-2023,Beauty,Cream,1,14397,14397,Debit Card,3,Chennai
100122,C474,19-03-2023,Electronics,Headphones,1,4580,4580,COD,5,Delhi
100123,C190,18-08-2023,Clothing,Jacket,1,1069,1069,Debit Card,6,Hyderabad
100124,C983,05-07-2023,Sports,Cricket Bat,2,12073,24146,Debit Card,5,Bhopal
100125,C781,17-06-2023,Home,Chair,2,459,918,Debit Card,2,Indore
100126,C155,12-11-2023,Home,Mixer,1,4147,4147,Credit Card,4,Pune
100127,C772,20-08-2023,Home,Table,4,17625,70500,Debit Card,4,Bangalore
100128,C695,02-01-2023,Beauty,Shampoo,1,5911,5911,COD,4,Mumbai
100129,C928,10-10-2023,Beauty,Perfume,1,16261,16261,COD,6,Indore
100130,C795,03-01-2023,Clothing,Jeans,4,1930,7720,COD,4,Bangalore
100131,C890,19-05-2023,Beauty,Cream,3,10820,32460,COD,4,Mumbai
100132,C240,25-08-2023,Sports,Cricket Bat,4,3225,12900,Credit Card,3,Bhopal
100133,C269,09-06-2023,Electronics,Headphones,4,14584,58336,UPI,3,Bangalore
100134,C478,14-11-2023,Home,Mixer,3,18442,55326,COD,2,Mumbai
100135,C808,15-12-2023,Home,Chair,2,8900,17800,Credit Card,3,Bangalore
100136,C238,18-12-2023,Beauty,Cream,1,16048,16048,Credit Card,4,Mumbai
100137,C994,26-09-2023,Sports,Football,2,2636,5272,UPI,4,Hyderabad
100138,C761,28-09-2023,Beauty,Perfume,4,217,868,Credit Card,7,Mumbai
100139,C732,04-06-2023,Sports,Gloves,1,2550,2550,Credit Card,4,Mumbai
100140,C558,07-09-2023,Electronics,Phone,4,13680,54720,Credit Card,3,Delhi
100141,C157,28-05-2023,Home,Cookware,4,11516,46064,COD,6,Chennai
100142,C652,03-08-2023,Sports,Cricket Bat,5,13987,69935,Credit Card,3,Pune
100143,C320,11-06-2023,Clothing,Jeans,4,6427,25708,Credit Card,4,Mumbai
100144,C975,07-10-2023,Sports,Shoes,4,292,1168,COD,6,Bangalore
100145,C115,15-09-2023,Home,Mixer,3,5023,15069,Credit Card,6,Mumbai
100146,C616,21-05-2023,Home,Mixer,2,1660,3320,UPI,2,Pune
100147,C425,05-04-2023,Clothing,Jacket,3,6302,18906,UPI,2,Chennai
100148,C796,28-09-2023,Electronics,Mouse,5,17082,85410,Credit Card,3,Indore
100149,C932,15-01-2023,Electronics,Mouse,2,14232,28464,UPI,3,Mumbai
100150,C685,11-06-2023,Beauty,Perfume,5,10643,53215,Debit Card,7,Chennai
100151,C152,18-03-2023,Sports,Football,1,16257,16257,Credit Card,5,Chennai
100152,C151,05-04-2023,Sports,Football,5,10393,51965,COD,4,Mumbai
100153,C663,25-08-2023,Electronics,Headphones,3,14722,44166,UPI,4,Hyderabad
100154,C798,10-11-2023,Electronics,Mouse,1,14225,14225,COD,3,Hyderabad
100155,C268,03-04-2023,Beauty,Cream,1,11298,11298,COD,6,Mumbai
100156,C797,30-05-2023,Clothing,T-Shirt,5,12778,63890,UPI,4,Mumbai
100157,C709,12-03-2023,Electronics,Phone,3,297,891,COD,3,Pune
100158,C955,25-08-2023,Home,Chair,3,18434,55302,COD,6,Mumbai
100159,C614,08-10-2023,Beauty,Cream,2,7891,15782,COD,4,Delhi
100160,C468,20-02-2023,Beauty,Shampoo,1,2288,2288,Credit Card,7,Bhopal
100161,C310,05-11-2023,Clothing,Jeans,1,19055,19055,Credit Card,4,Delhi
100162,C856,16-08-2023,Sports,Shoes,2,2089,4178,UPI,2,Chennai
100163,C934,10-03-2023,Home,Cookware,4,14885,59540,Credit Card,2,Chennai
100164,C244,20-01-2023,Clothing,T-Shirt,4,4883,19532,Debit Card,6,Pune
100165,C508,05-11-2023,Sports,Gloves,4,17177,68708,COD,7,Hyderabad
100166,C344,20-09-2023,Beauty,Face Wash,2,17944,35888,COD,6,Bangalore
100167,C763,08-09-2023,Home,Table,5,15938,79690,Debit Card,3,Pune
100168,C513,20-08-2023,Clothing,T-Shirt,2,10811,21622,Debit Card,5,Bangalore
100169,C234,08-04-2023,Home,Table,5,9630,48150,UPI,2,Indore
100170,C280,24-01-2023,Beauty,Shampoo,5,8859,44295,Debit Card,6,Mumbai
100171,C834,23-06-2023,Clothing,Shirt,2,3273,6546,UPI,2,Bhopal
100172,C991,04-09-2023,Electronics,Mouse,5,6481,32405,Credit Card,2,Bangalore
100173,C131,09-07-2023,Home,Mixer,2,8586,17172,Debit Card,2,Indore
100174,C756,27-08-2023,Electronics,Phone,1,15776,15776,COD,6,Indore
100175,C769,06-11-2023,Home,Cookware,2,11935,23870,UPI,4,Bhopal
100176,C736,11-05-2023,Electronics,Headphones,2,18758,37516,COD,6,Chennai
100177,C823,13-10-2023,Beauty,Shampoo,4,6302,25208,Debit Card,3,Bhopal
100178,C600,12-05-2023,Home,Cookware,2,15565,31130,COD,5,Bangalore
100179,C867,20-09-2023,Beauty,Shampoo,1,12879,12879,UPI,3,Pune
100180,C920,04-08-2023,Beauty,Face Wash,4,14846,59384,UPI,5,Hyderabad
100181,C308,19-06-2023,Electronics,Headphones,1,16401,16401,Credit Card,2,Mumbai
100182,C370,19-12-2023,Clothing,Jacket,5,16829,84145,COD,3,Mumbai
100183,C188,24-05-2023,Sports,Shoes,2,17482,34964,COD,2,Indore
100184,C379,18-01-2023,Sports,Shoes,4,15736,62944,Debit Card,3,Indore
100185,C452,24-12-2023,Electronics,Phone,4,6091,24364,Credit Card,3,Mumbai
100186,C699,08-05-2023,Sports,Shoes,4,14338,57352,Debit Card,7,Delhi
100187,C929,03-10-2023,Clothing,T-Shirt,4,7844,31376,UPI,4,Chennai
100188,C267,23-12-2023,Sports,Cricket Bat,4,8255,33020,Debit Card,6,Chennai
100189,C602,17-08-2023,Sports,Football,1,10901,10901,COD,7,Mumbai
100190,C337,29-12-2023,Home,Table,2,19158,38316,UPI,5,Bangalore
100191,C689,12-12-2023,Home,Mixer,3,10504,31512,UPI,6,Hyderabad
100192,C538,04-02-2023,Home,Mixer,3,4414,13242,UPI,5,Delhi
100193,C779,21-09-2023,Electronics,Phone,3,9237,27711,UPI,7,Pune
100194,C983,29-06-2023,Sports,Gloves,3,16437,49311,Debit Card,4,Delhi
100195,C297,18-10-2023,Electronics,Headphones,1,3138,3138,COD,5,Chennai
100196,C657,19-05-2023,Clothing,T-Shirt,3,4857,14571,Debit Card,4,Bangalore
100197,C482,30-06-2023,Electronics,Mouse,5,17166,85830,Credit Card,6,Bangalore
100198,C624,18-07-2023,Clothing,Jacket,3,6753,20259,Debit Card,7,Chennai
100199,C140,10-09-2023,Sports,Shoes,5,9371,46855,COD,5,Chennai
100200,C619,26-09-2023,Sports,Cricket Bat,4,14311,57244,COD,6,Bhopal
100201,C663,19-03-2023,Clothing,Jacket,3,19746,59238,Credit Card,3,Bhopal
100202,C598,14-12-2023,Home,Chair,5,859,4295,Debit Card,3,Mumbai
100203,C151,14-11-2023,Home,Cookware,4,9097,36388,UPI,5,Bangalore
100204,C849,05-12-2023,Beauty,Shampoo,4,13489,53956,Credit Card,4,Pune
100205,C413,22-11-2023,Clothing,Shirt,4,6184,24736,UPI,5,Hyderabad
100206,C581,25-10-2023,Beauty,Cream,1,5362,5362,Credit Card,4,Indore
100207,C868,12-02-2023,Home,Chair,4,15394,61576,Debit Card,2,Delhi
100208,C199,09-07-2023,Beauty,Cream,4,12114,48456,Debit Card,4,Chennai
100209,C324,04-12-2023,Clothing,Shirt,2,11665,23330,UPI,7,Chennai
100210,C407,20-04-2023,Clothing,Jeans,5,6774,33870,COD,2,Delhi
100211,C186,10-10-2023,Electronics,Mouse,4,16570,66280,COD,5,Hyderabad
100212,C239,09-01-2023,Sports,Gloves,3,18542,55626,Debit Card,5,Delhi
100213,C115,19-11-2023,Sports,Football,2,11571,23142,Credit Card,2,Pune
100214,C434,20-10-2023,Sports,Gloves,3,4541,13623,UPI,4,Bangalore
100215,C323,25-02-2023,Electronics,Headphones,3,1270,3810,Debit Card,4,Delhi
100216,C693,30-10-2023,Electronics,Laptop,5,10859,54295,Debit Card,3,Delhi
100217,C662,29-03-2023,Sports,Football,3,1331,3993,Credit Card,6,Indore
100218,C951,17-08-2023,Home,Mixer,5,8514,42570,Credit Card,6,Bhopal
100219,C492,19-10-2023,Home,Cookware,5,1851,9255,Credit Card,6,Delhi
100220,C291,21-09-2023,Electronics,Headphones,2,14251,28502,Debit Card,5,Indore
100221,C954,19-06-2023,Beauty,Cream,1,10696,10696,Debit Card,5,Indore
100222,C430,13-05-2023,Sports,Shoes,2,7121,14242,COD,7,Bhopal
100223,C215,28-04-2023,Electronics,Headphones,2,14645,29290,Debit Card,5,Hyderabad
100224,C703,19-09-2023,Sports,Gloves,5,12828,64140,Credit Card,4,Chennai
100225,C743,20-10-2023,Sports,Shoes,4,7165,28660,UPI,5,Chennai
100226,C212,01-04-2023,Beauty,Shampoo,3,16373,49119,UPI,7,Delhi
100227,C534,17-04-2023,Clothing,Jacket,1,9915,9915,Credit Card,7,Mumbai
100228,C657,05-08-2023,Electronics,Phone,4,6713,26852,COD,7,Bhopal
100229,C196,04-01-2023,Home,Chair,1,1993,1993,Credit Card,3,Indore
100230,C466,04-10-2023,Clothing,Jeans,5,19374,96870,UPI,4,Indore
100231,C107,08-03-2023,Home,Mixer,1,19572,19572,Credit Card,4,Chennai
100232,C678,04-07-2023,Home,Chair,3,1149,3447,UPI,2,Mumbai
100233,C892,09-12-2023,Clothing,Shirt,4,15545,62180,Credit Card,2,Pune
100234,C708,30-04-2023,Clothing,T-Shirt,1,13699,13699,Credit Card,3,Pune
100235,C576,05-04-2023,Clothing,Shirt,2,16138,32276,Credit Card,2,Mumbai
100236,C480,22-12-2023,Beauty,Perfume,3,12521,37563,Debit Card,5,Chennai
100237,C755,01-10-2023,Electronics,Headphones,1,9057,9057,COD,5,Bangalore
100238,C699,24-04-2023,Home,Chair,3,14644,43932,UPI,3,Mumbai
100239,C930,24-03-2023,Home,Chair,2,18291,36582,Debit Card,6,Bangalore
100240,C522,12-12-2023,Clothing,Jacket,2,9377,18754,Debit Card,4,Chennai
100241,C163,10-04-2023,Electronics,Headphones,5,18726,93630,Credit Card,2,Mumbai
100242,C126,20-08-2023,Home,Mixer,3,9087,27261,UPI,4,Delhi
100243,C577,07-04-2023,Electronics,Mouse,5,5298,26490,Credit Card,6,Bangalore
100244,C422,15-10-2023,Sports,Cricket Bat,2,1685,3370,COD,3,Bangalore
100245,C637,29-06-2023,Clothing,Shirt,2,14950,29900,Debit Card,4,Chennai
100246,C458,28-07-2023,Home,Chair,2,19669,39338,Credit Card,4,Bhopal
100247,C854,26-11-2023,Electronics,Phone,4,2263,9052,COD,3,Bhopal
100248,C962,24-03-2023,Electronics,Mouse,3,14793,44379,UPI,6,Pune
100249,C450,23-12-2023,Clothing,Jeans,4,5196,20784,UPI,6,Indore
100250,C925,30-12-2023,Sports,Football,2,13629,27258,Credit Card,2,Bhopal
100251,C185,11-05-2023,Clothing,Jeans,2,17323,34646,COD,2,Delhi
100252,C348,12-07-2023,Electronics,Mouse,5,17789,88945,Debit Card,3,Hyderabad
100253,C760,10-04-2023,Clothing,Jacket,3,17895,53685,UPI,7,Mumbai
100254,C818,20-06-2023,Beauty,Face Wash,5,17358,86790,COD,4,Indore
100255,C621,09-11-2023,Home,Chair,3,14203,42609,UPI,5,Hyderabad
100256,C937,10-10-2023,Clothing,Jeans,2,4725,9450,Debit Card,4,Bhopal
100257,C175,13-06-2023,Electronics,Laptop,2,11740,23480,UPI,3,Chennai
100258,C480,05-01-2023,Electronics,Phone,5,13473,67365,Credit Card,5,Pune
100259,C870,29-01-2023,Home,Mixer,5,4762,23810,COD,7,Bangalore
100260,C109,04-09-2023,Electronics,Laptop,1,17331,17331,Debit Card,5,Hyderabad
100261,C522,23-08-2023,Clothing,T-Shirt,5,16709,83545,COD,3,Bhopal
100262,C351,01-07-2023,Beauty,Face Wash,2,14186,28372,COD,7,Bangalore
100263,C294,18-02-2023,Electronics,Mouse,5,3058,15290,COD,4,Bangalore
100264,C281,29-08-2023,Electronics,Mouse,5,19914,99570,Credit Card,7,Pune
100265,C641,03-07-2023,Electronics,Headphones,5,17045,85225,COD,5,Indore
100266,C701,07-03-2023,Sports,Shoes,2,15436,30872,COD,6,Bangalore
100267,C259,13-09-2023,Beauty,Shampoo,3,19331,57993,Credit Card,3,Bhopal
100268,C170,06-02-2023,Sports,Gloves,4,3256,13024,Debit Card,6,Hyderabad
100269,C472,05-01-2023,Electronics,Headphones,1,8773,8773,UPI,5,Mumbai
100270,C749,28-11-2023,Electronics,Headphones,3,6123,18369,COD,3,Indore
100271,C599,17-11-2023,Sports,Gloves,5,19776,98880,Credit Card,4,Chennai
100272,C457,14-10-2023,Electronics,Laptop,1,10945,10945,UPI,7,Delhi
100273,C959,07-03-2023,Beauty,Shampoo,3,10587,31761,Credit Card,3,Hyderabad
100274,C318,03-12-2023,Beauty,Face Wash,1,13761,13761,UPI,6,Pune
100275,C302,06-06-2023,Electronics,Mouse,4,9556,38224,UPI,2,Delhi
100276,C841,25-03-2023,Clothing,Jeans,1,10318,10318,Credit Card,6,Chennai
100277,C450,03-08-2023,Sports,Shoes,5,17563,87815,Debit Card,7,Bhopal
100278,C182,14-04-2023,Beauty,Cream,1,17906,17906,UPI,6,Pune
100279,C669,22-05-2023,Clothing,T-Shirt,3,16715,50145,COD,5,Bangalore
100280,C351,17-02-2023,Sports,Football,5,9665,48325,Debit Card,6,Bhopal
100281,C360,26-04-2023,Beauty,Shampoo,4,1938,7752,UPI,4,Indore
100282,C788,07-04-2023,Home,Table,3,10180,30540,COD,4,Hyderabad
100283,C501,25-07-2023,Clothing,T-Shirt,5,10780,53900,COD,7,Bhopal
100284,C348,22-03-2023,Sports,Cricket Bat,4,6389,25556,Debit Card,2,Pune
100285,C170,01-01-2024,Beauty,Perfume,4,13561,54244,Debit Card,6,Bhopal
100286,C176,23-06-2023,Electronics,Phone,3,11244,33732,COD,7,Bangalore
100287,C332,07-12-2023,Home,Chair,2,12298,24596,Credit Card,4,Hyderabad
100288,C204,06-03-2023,Electronics,Headphones,1,1818,1818,UPI,2,Chennai
100289,C222,08-09-2023,Clothing,Jeans,4,18391,73564,Debit Card,2,Bangalore
100290,C383,22-02-2023,Sports,Shoes,4,15278,61112,Credit Card,4,Bangalore
100291,C564,22-07-2023,Clothing,Jacket,1,15092,15092,Debit Card,2,Delhi
100292,C748,27-11-2023,Sports,Football,3,11176,33528,COD,3,Pune
100293,C777,27-04-2023,Beauty,Perfume,4,11285,45140,UPI,3,Mumbai
100294,C449,13-04-2023,Home,Mixer,4,12015,48060,Debit Card,2,Mumbai
100295,C694,11-02-2023,Clothing,T-Shirt,1,17325,17325,Credit Card,2,Chennai
100296,C765,20-10-2023,Clothing,Jeans,2,7107,14214,Credit Card,4,Hyderabad
100297,C243,26-06-2023,Home,Mixer,4,13270,53080,Credit Card,3,Pune
100298,C259,21-12-2023,Electronics,Laptop,3,2193,6579,UPI,2,Delhi
100299,C190,18-07-2023,Electronics,Laptop,5,18947,94735,UPI,4,Chennai
100300,C467,07-06-2023,Beauty,Face Wash,1,16005,16005,Credit Card,5,Pune
100301,C744,14-10-2023,Home,Cookware,4,4063,16252,UPI,3,Mumbai
100302,C185,05-04-2023,Electronics,Laptop,3,5714,17142,Credit Card,2,Mumbai
100303,C501,15-01-2023,Sports,Football,5,4728,23640,UPI,6,Chennai
100304,C278,01-08-2023,Electronics,Laptop,2,8479,16958,UPI,3,Mumbai
100305,C654,31-08-2023,Sports,Cricket Bat,2,19721,39442,Credit Card,2,Chennai
100306,C880,04-05-2023,Home,Cookware,3,16850,50550,Debit Card,7,Indore
100307,C753,22-12-2023,Beauty,Perfume,3,10699,32097,Debit Card,4,Mumbai
100308,C514,16-12-2023,Electronics,Headphones,5,1699,8495,Credit Card,7,Delhi
100309,C571,17-10-2023,Beauty,Perfume,1,13832,13832,UPI,5,Pune
100310,C470,31-07-2023,Home,Mixer,1,19467,19467,Credit Card,5,Bangalore
100311,C269,04-08-2023,Sports,Football,1,12061,12061,Debit Card,2,Indore
100312,C699,13-04-2023,Home,Chair,5,19780,98900,UPI,2,Bangalore
100313,C462,24-08-2023,Sports,Football,2,19322,38644,COD,4,Mumbai
100314,C687,18-05-2023,Home,Chair,5,18450,92250,Debit Card,2,Delhi
100315,C663,03-09-2023,Beauty,Face Wash,3,17721,53163,Debit Card,2,Bangalore
100316,C656,11-04-2023,Electronics,Mouse,2,9767,19534,COD,2,Pune
100317,C493,23-02-2023,Sports,Cricket Bat,4,1341,5364,UPI,4,Pune
100318,C312,13-08-2023,Home,Table,1,9952,9952,Debit Card,4,Bhopal
100319,C285,18-04-2023,Electronics,Mouse,3,18814,56442,Credit Card,5,Delhi
100320,C595,30-05-2023,Sports,Cricket Bat,3,10259,30777,UPI,4,Hyderabad
100321,C969,12-01-2023,Home,Table,3,16599,49797,Debit Card,6,Indore
100322,C484,17-06-2023,Sports,Shoes,2,6787,13574,UPI,6,Mumbai
100323,C424,17-06-2023,Clothing,T-Shirt,1,16308,16308,Debit Card,3,Bangalore
100324,C480,08-03-2023,Home,Cookware,2,11581,23162,UPI,2,Indore
100325,C157,19-05-2023,Beauty,Face Wash,3,10203,30609,COD,2,Chennai
